Locality,Zip Code,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Median Price per Commune,Median Revenue per Commune,Price/m2,Subtype of Property Score,State of the Building Score,PEB Score
Deinze,9800,house,375000,4,223,0,0,0,0,0,0,0,450,3,1986,3,313,5,320500,31900,1681,29802.14056563951,28486.412584912407,28222.31623931624
Brussel,1000,house,1250000,6,365,1,0,1,65,0,0,0,300,2,1956,3,152,3,275000,21541,3424,29802.14056563951,28758.51106301106,28222.31623931624
Sint-laureins,9980,house,399000,3,150,1,0,0,0,0,0,0,268,3,2019,6,41,5,290000,31414,2660,29802.14056563951,28486.412584912407,29468.910848549946
Zelzate,9060,house,319000,3,135,1,0,0,0,0,0,0,115,2,2016,6,69,3,254000,29651,2362,29802.14056563951,28758.51106301106,29468.910848549946
Kapellen,2950,apartment,368000,1,133,1,0,1,28,0,0,0,0,2,2006,5,118,3,365250,33995,2766,26803.13784722222,28758.51106301106,29446.861588481188
Nazareth,9810,house,450000,4,171,0,0,0,0,1,300,0,635,3,1962,4,276,2,397500,32737,2631,29802.14056563951,28791.728096676736,29068.10478029937
Kortrijk,8500,house,345000,3,118,1,0,0,0,1,220,0,295,3,1987,4,230,5,265000,28248,2923,29802.14056563951,28486.412584912407,29068.10478029937
Mortsel,2640,apartment,259000,2,110,0,0,1,1,0,0,0,0,2,1982,5,120,3,339500,31213,2354,26803.13784722222,28758.51106301106,29446.861588481188
Woluwe-saint-lambert,1200,penthouse,1090000,4,215,1,1,1,45,0,0,0,0,3,2017,4,96,5,369000,27210,5069,25996.018604651163,28486.412584912407,29068.10478029937
Turnhout,2300,apartment,335000,3,192,0,0,0,0,0,0,0,0,2,1997,5,130,5,250000,27404,1744,26803.13784722222,28486.412584912407,29446.861588481188
Oostende,8400,apartment,270000,3,116,1,0,1,8,0,0,0,0,2,1967,5,163,3,235000,25991,2327,26803.13784722222,28758.51106301106,29446.861588481188
Ixelles,1050,apartment,560000,2,91,1,0,1,5,0,0,0,0,2,2024,6,30,5,350000,23014,6153,26803.13784722222,28486.412584912407,29468.910848549946
Villers-le-bouillet,4530,house,345000,4,140,1,0,1,12,1,951,0,974,4,2000,4,252,3,250805,30281,2464,29802.14056563951,28758.51106301106,29068.10478029937
Vleteren,8640,house,349000,4,442,0,0,0,0,0,0,0,500,3,1958,3,370,1,283000,28076,789,29802.14056563951,28927.5390070922,28222.31623931624
