Standardized Median Revenue per Commune,Standardized Median Price per Commune,Standardized Livable Space (m2),Standardized Subtype of Property Score,Standardized State of the Building Score,Standardized PEB Score,Standardized Primary Energy Consumption (kWh/m2),Standardized Surface of the Land (m2),Standardized Construction Year,Standardized Number of Rooms,Standardized Number of Facades
0.699,0.268,0.474,-0.285,1.167,-0.402,0.188,-0.055,0.48,0.741,0.212
-1.267,-0.289,1.808,-0.285,-0.832,-0.402,-0.697,-0.21,-0.284,2.234,-0.946
0.607,-0.105,-0.212,-0.285,1.167,0.268,-1.308,-0.243,1.321,-0.005,0.212
0.272,-0.547,-0.353,-0.285,-0.832,0.268,-1.154,-0.401,1.244,-0.005,-0.946
1.097,0.817,-0.371,-0.565,-0.832,-0.075,-0.884,-0.519,0.989,-1.498,-0.946
0.858,1.212,-0.014,-0.285,0.021,1.279,-0.015,0.136,-0.131,0.741,0.212
0.006,-0.412,-0.512,-0.285,1.167,1.279,-0.268,-0.215,0.506,-0.005,0.212
0.569,0.501,-0.588,-0.565,-0.832,-0.075,-0.873,-0.519,0.378,-0.752,-0.946
-0.191,0.863,0.399,1.399,1.167,1.279,-1.005,-0.519,1.27,0.741,0.212
-0.154,-0.596,0.183,-0.565,1.167,-0.075,-0.818,-0.519,0.76,-0.005,-0.946
-0.423,-0.779,-0.531,-0.565,-0.832,-0.075,-0.637,-0.519,-0.004,-0.005,-0.946
-0.988,0.63,-0.766,-0.565,1.167,0.268,-1.368,-0.519,1.448,-0.752,-0.946
0.392,-0.586,-0.306,-0.285,-0.832,1.279,-0.147,0.486,0.837,0.741,1.37
-0.027,-0.191,2.532,-0.285,0.134,-0.402,0.502,-0.003,-0.233,0.741,0.212
1.094,1.58,2.175,-0.285,1.167,-0.075,-0.868,1.533,1.448,1.487,1.37
-0.176,-1.208,-1.302,-0.939,-0.832,-0.075,-0.45,-0.519,0.251,-1.498,-0.946
1.078,0.74,0.878,-0.285,-0.832,1.279,-0.235,1.851,-0.157,-0.005,1.37
0.645,1.059,-0.832,0.819,1.167,0.268,-1.253,-0.519,1.346,-1.498,-0.946
-1.267,-0.289,-0.728,-0.565,1.167,0.268,-1.286,-0.519,1.473,-0.752,1.37
-0.332,1.12,-0.663,-0.565,-0.832,-0.402,-0.686,-0.519,-0.029,-0.005,-0.946
1.5,1.047,2.1,1.061,1.167,0.268,-0.989,1.976,-1.456,-0.005,1.37
-0.043,-0.841,-1.02,-0.565,-0.832,-0.075,-0.917,-0.519,1.372,-0.752,1.37
-0.154,-0.596,0.343,-0.565,-0.832,-0.075,-0.582,-0.519,0.811,-0.752,0.212
0.006,-0.412,1.696,-0.285,1.167,-0.075,-0.686,-0.327,-0.819,1.487,1.37
0.244,-0.289,-0.146,-0.285,0.021,-0.402,0.304,-0.226,0.047,-0.005,-0.946
1.049,2.468,2.588,2.989,-0.832,1.279,-0.092,3.43,0.327,0.741,1.37
1.575,0.998,0.662,-0.285,1.167,0.268,-1.192,1.07,1.321,1.487,0.212
-0.331,1.604,-0.775,-0.565,1.167,0.521,0.067,-0.519,0.149,-0.752,0.212
0.276,-0.412,0.192,-0.285,-0.832,1.279,-0.186,-0.406,-0.946,-0.005,-0.946
0.461,-0.289,0.051,-0.285,0.021,1.279,-0.131,-0.236,-0.335,0.741,0.212
0.741,-0.473,0.089,2.989,-0.832,-0.402,0.122,2.66,0.047,-0.005,1.37
0.357,-0.596,5.519,-0.285,-0.832,0.521,1.657,3.034,-0.182,2.98,1.37
0.258,-0.736,-0.494,-0.285,0.134,-1.138,1.195,-0.322,-1.736,-0.752,-0.946
0.343,0.017,-0.118,-0.285,0.134,0.521,3.313,-0.132,-0.309,-0.005,0.212
0.461,-0.289,0.925,-0.285,0.021,-0.402,0.447,-0.359,-1.456,1.487,-0.946
-0.988,0.63,1.592,-0.285,1.167,0.521,0.287,-0.143,-2.092,1.487,-0.946
-0.817,-1.76,-0.681,-0.285,0.134,-2.792,1.932,-0.469,-2.347,-0.752,0.212
0.276,-0.412,-0.343,-0.285,0.566,-0.075,-0.873,-0.415,-1.736,-0.005,-0.946
0.006,-0.412,-0.775,-0.565,-0.832,-0.075,-0.752,-0.519,-0.029,-0.752,-0.946
0.403,-0.081,0.333,-0.285,1.167,1.279,-0.054,-0.128,-0.36,-0.005,1.37
-1.267,-0.289,-0.071,-0.565,-0.832,-1.138,-0.07,-0.519,0.684,-0.005,0.212
-0.332,1.12,2.137,2.989,1.167,-0.402,-0.62,0.515,0.76,1.487,1.37
0.245,0.14,1.019,1.399,-0.832,-0.075,-0.818,-0.519,1.142,-0.005,0.212
0.155,-0.289,-0.494,-0.285,-0.832,-0.402,-0.004,0.067,-2.474,-0.752,1.37
0.885,2.836,0.587,-0.285,1.167,1.279,-0.186,0.198,0.2,-0.005,-0.946
0.258,-0.736,-1.151,-0.565,-0.832,-0.075,-0.956,-0.519,0.989,-1.498,-0.946
-1.306,-0.963,-0.869,-0.565,1.167,1.279,-0.879,-0.519,0.073,-0.752,-0.946
1.056,2.683,3.64,2.989,1.167,-0.075,-0.928,4.455,0.455,0.741,1.37
0.657,0.385,-0.052,-0.285,1.167,-0.075,-0.664,0.371,1.142,-0.752,0.212
2.099,1.549,0.841,2.989,1.167,0.268,-1.154,0.226,1.193,1.487,1.37
-0.988,0.63,-0.259,1.399,-0.832,-0.402,-0.411,-0.519,0.2,-0.005,-0.946
-1.267,-0.289,-0.681,-0.565,1.167,-0.075,-1.198,-0.519,1.193,-0.005,-0.946
-0.749,-1.576,-0.569,-0.285,1.167,-0.402,-0.092,-0.3,0.174,-0.005,-0.946
0.056,-1.545,-0.296,-0.285,-0.832,-1.138,0.656,2.632,-0.437,-0.005,1.37
-0.385,-1.153,-0.155,-0.285,-0.832,-2.792,1.355,-0.211,-2.958,-0.005,0.212
0.461,-0.289,0.089,-0.285,-0.832,-1.138,1.179,0.255,-0.691,0.741,-0.946
0.405,0.017,0.361,2.989,1.167,1.279,-0.191,0.078,0.124,0.741,1.37
0.626,-0.534,-0.362,-0.565,-0.832,-0.075,-0.791,-0.519,1.168,-1.498,-0.946
1.149,2.37,1.273,-0.285,1.167,-0.075,-0.758,0.336,1.091,0.741,1.37
-0.739,-0.381,-0.212,-0.565,0.021,-1.138,-0.098,-0.519,0.607,-0.005,-0.946
0.653,-0.596,0.023,-0.285,1.167,-0.402,0.232,0.166,-1.736,-0.005,0.212
0.542,0.936,0.587,-0.285,1.167,-0.402,0.133,7.845,0.124,0.741,1.37
-5.352,0.446,-1.057,0.819,-0.832,1.279,-0.202,-0.519,0.073,-1.498,-0.946
-0.768,-0.779,-0.672,-0.565,1.167,1.279,-0.752,-0.519,1.321,-0.752,-0.946
-0.476,-0.779,-0.869,-0.565,0.134,-0.075,-0.879,-0.519,0.429,-0.752,-0.946
0.203,-0.608,-0.437,-0.285,0.134,0.521,1.729,0.533,-0.157,-0.005,0.212
-0.154,-0.596,-0.24,-0.565,-0.832,1.279,-0.087,-0.519,0.124,0.741,0.212
-0.423,-0.779,1.724,-0.285,-0.832,1.279,-0.318,-0.192,0.531,0.741,1.37
0.461,-0.289,-1.001,-0.565,-0.832,-0.075,-0.972,-0.519,1.219,-1.498,1.37
0.806,-0.412,0.963,-0.285,0.134,1.279,0.106,-0.207,0.378,0.741,-0.946
-1.04,-1.576,-1.198,-0.565,-0.832,-0.402,0.023,-0.519,-1.965,-1.498,0.212
-1.358,-1.024,-0.822,-0.565,1.167,-0.402,-0.598,-0.519,-0.182,-0.752,-0.946
-0.176,-1.208,-1.142,-0.565,0.134,-0.075,-0.917,-0.519,0.098,-1.498,-0.946
0.992,0.262,-0.728,-0.565,1.167,0.268,-1.225,-0.519,0.607,-0.752,-0.946
0.26,-0.473,3.424,-0.285,-0.832,0.521,2.191,0.152,-1.965,2.234,1.37
1.049,2.468,0.728,2.989,0.021,-1.138,0.937,1.602,0.251,-0.752,1.37
0.396,-0.228,0.145,2.989,-0.832,-0.075,-0.675,0.133,0.531,-0.005,1.37
-1.008,-0.228,-0.728,-0.565,0.566,-0.402,-0.692,-0.519,-1.073,-0.752,-0.946
0.679,-0.473,-0.174,-0.285,0.021,0.521,2.477,0.459,0.378,-0.005,1.37
0.962,2.713,-0.165,-0.285,0.134,0.521,2.735,0.07,-0.182,-0.005,1.37
0.034,-0.926,0.192,-0.285,0.566,1.279,-0.021,-0.287,-2.984,1.487,-0.946
0.379,-0.167,0.061,-0.285,0.021,1.279,0.111,0.025,-0.055,-0.005,0.212
0.403,-0.081,0.089,-0.285,-0.832,-0.402,0.265,-0.229,0.124,-0.005,0.212
0.403,-0.081,-0.118,-0.285,0.134,-1.138,0.854,-0.359,-1.252,-0.005,-0.946
0.562,0.392,-0.747,-0.565,-0.832,-0.402,0.21,-0.519,0.251,-0.005,0.212
0.699,0.268,-0.052,-0.285,1.167,0.268,-1.368,-0.277,1.397,-0.005,0.212
0.247,2.039,-0.353,1.384,-0.832,-1.138,-0.12,-0.519,-0.309,-0.005,-0.946
0.006,-0.412,0.127,-0.285,0.566,-0.075,-0.84,-0.025,-0.004,-0.005,-0.946
0.528,-0.357,-0.663,-0.565,-0.832,-0.402,0.062,-0.519,-0.004,-0.752,1.37
-1.358,-1.024,-0.775,-0.565,-0.832,0.521,0.183,-0.519,0.047,-0.752,-0.946
-0.332,1.12,0.878,2.989,1.167,-0.402,-0.378,0.648,-0.182,0.741,0.212
-0.864,0.305,-1.132,-0.565,0.134,-1.138,-0.081,-0.519,-0.87,-1.498,-0.946
-1.267,-0.289,-1.405,-0.939,-0.832,-1.138,-0.235,-0.519,0.811,-1.498,-0.946
0.155,-0.289,0.502,2.989,0.021,1.279,-0.422,1.613,0.251,2.98,1.37
0.358,0.118,-0.437,-0.565,0.566,0.268,-1.253,-0.519,-0.08,-0.005,0.212
0.569,0.501,-0.945,-0.565,-0.832,0.268,-0.983,-0.519,1.091,-0.752,0.212
0.999,0.079,-0.39,0.819,-0.832,-0.075,-0.873,-0.519,0.735,-0.752,0.212
-0.154,-0.596,-0.418,0.819,1.167,0.268,-1.236,-0.519,-0.946,-0.752,-0.946
-0.187,-1.0,-0.4,-0.565,0.021,1.279,-0.345,-0.519,0.76,-0.752,-0.946
