Locality,Zip Code,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Median Price per Commune,Median Revenue per Commune,Price/m2
Schaerbeek,1030,house,365000,5,186,1,0,1,8,0,0,0,57,2,1910,0,449,5,275000,21912,1962
Ninove,9400,villa,349000,3,199,1,0,0,0,0,0,0,365,4,1985,1,616,3,260000,29589,1753
Varsenare,8490,apartment,180000,3,96,0,0,0,0,0,0,0,0,2,1980,4,276,5,386750,33476,1875
Dilbeek,1702,house,320000,4,120,0,0,0,0,0,0,0,256,3,1976,2,414,2,385000,32113,2666
Steenokkerzeel,1820,house,395000,4,275,1,0,0,0,0,0,0,264,3,1930,2,406,4,425000,33462,1436
Nassogne,6950,house,435000,3,165,1,0,0,0,0,0,0,4085,4,1960,2,356,2,190000,28072,2636
Lier,2500,villa,719000,3,232,1,0,0,0,0,0,0,1246,4,1993,5,139,3,290000,29623,3099
Anzegem,8570,apartment,149500,1,56,1,0,0,0,0,0,0,0,2,2019,6,88,3,280000,32600,2669
Petegem-aan-de-leie,9800,apartment,199000,2,78,1,0,1,2,0,0,0,0,2,1973,6,98,3,320500,31900,2551
Dinant,5501,house,399000,4,209,1,0,0,0,1,778,0,942,4,2002,4,204,3,165000,23867,1909
Namur,5000,house,475000,4,230,1,0,1,15,1,200,0,314,2,1934,4,242,3,250000,26345,2065
Astene,9800,house,329000,3,230,1,0,0,0,0,0,0,267,2,1957,2,467,2,320500,31900,1430
Grimbergen,1850,house,325000,5,180,0,0,0,0,0,0,0,344,2,1932,2,452,1,351000,31773,1805
Nieuwpoort,8620,apartment,355000,2,70,1,1,0,0,0,0,0,0,4,2004,5,112,3,260000,27342,5071
Oostende,8400,house,429000,4,170,1,0,0,0,0,0,0,530,4,1982,4,264,2,235000,25991,2523
Sint-lievens-houtem,9520,villa,549000,4,210,1,0,0,0,0,0,0,3582,4,1983,1,701,3,341157,33188,2614
Anderlecht,1070,apartment,299000,2,90,1,0,1,20,0,0,0,0,2,2023,6,37,5,220000,21336,3322
Wichelen,9260,house,179000,2,85,1,0,0,0,0,0,0,43,2,1918,4,297,3,300000,32717,2105
Uccle,1180,flat-studio,175000,1,20,1,1,0,0,0,0,0,0,2,1920,0,373,3,390000,26467,8750
Laakdal,2430,house,339000,4,264,0,0,0,0,0,0,0,1653,4,1958,4,279,2,283750,31971,1284
Roeselare,8800,apartment,190000,2,76,0,0,0,0,0,0,0,0,2,2008,4,237,5,238106,28720,2500
Hamme,9220,house,329000,3,184,0,0,0,0,0,0,0,467,3,1936,2,473,3,260000,29245,1788
Hulshout,2235,house,239000,4,234,1,0,0,0,0,0,0,601,4,1967,1,681,1,312500,30927,1021
Westerlo,2260,house,595000,5,274,1,0,0,0,0,0,1,1767,4,1994,4,291,3,290000,31616,2171
Saint-gilles,1060,apartment,220000,2,98,1,0,0,0,0,0,0,0,2,1931,1,307,3,291000,20648,2244
Modavestrcae-lez-huy,4577,house,515000,4,224,1,0,1,30,0,0,0,997,4,2009,5,169,5,236750,32113,2299
Laakdal,2430,house,637000,4,264,0,0,0,0,0,0,0,3773,4,1958,4,279,2,283750,31971,2412
Schaerbeek,1030,house,349000,2,116,0,0,1,10,1,90,0,155,2,1930,0,597,1,275000,21912,3008
Westerlo,2260,house,269000,3,235,0,0,0,0,0,0,0,1374,4,1968,1,982,1,290000,31616,1144
Woluwe-saint-pierre,1150,flat-studio,198000,1,42,1,0,0,0,0,0,0,0,2,1970,5,90,5,465000,29516,4714
Turnhout,2300,house,159000,2,191,0,0,0,0,0,0,0,174,2,1981,1,700,1,250000,27404,832
Villers-le-bouillet,4530,house,349000,4,161,0,0,1,25,1,1000,0,1491,4,1984,1,463,3,250805,30281,2167
